epoch,step,train_loss
0,49,223.4760284423828
0,99,0.0
0,149,0.0
0,199,145.590087890625
0,249,0.0
0,299,0.0
1,349,94.84898376464844
1,399,0.0
1,449,0.0
1,499,61.79220199584961
1,549,0.0
1,599,0.0
2,649,40.25635528564453
2,699,0.0
2,749,0.0
2,799,26.2261962890625
2,849,0.0
2,899,0.0
3,949,17.085830688476562
3,999,0.0
3,1049,0.0
3,1099,11.131081581115723
3,1149,0.0
3,1199,0.0
4,1249,7.251662731170654
4,1299,0.0
4,1349,0.0
4,1399,4.724309921264648
4,1449,0.0
4,1499,0.0
5,1549,3.077779769897461
5,1599,0.0
5,1649,0.0
5,1699,2.0051109790802
5,1749,0.0
5,1799,0.0
6,1849,1.3062846660614014
6,1899,0.0
6,1949,0.0
6,1999,0.851012647151947
6,2049,0.0
6,2099,0.0
7,2149,0.5544154047966003
7,2199,0.0
7,2249,0.0
7,2299,0.3611893355846405
7,2349,0.0
7,2399,0.0
8,2449,0.23530516028404236
8,2499,0.0
8,2549,0.0
8,2599,0.15329577028751373
8,2649,0.0
8,2699,0.0
9,2749,0.0998704582452774
9,2799,0.0
9,2849,0.0
9,2899,0.0650639757514
9,2949,0.0
9,2999,0.0
10,3049,0.04238860681653023
10,3099,0.0
10,3149,0.0
10,3199,0.027615677565336227
10,3249,0.0
10,3299,0.0
11,3349,0.01799047365784645
11,3399,0.0
11,3449,0.0
11,3499,0.011720261536538601
11,3549,0.0
11,3599,0.0
12,3649,0.007636002730578184
12,3699,0.0
12,3749,0.0
12,3799,0.004974606446921825
12,3849,0.0
12,3899,0.0
13,3949,0.00324065238237381
13,3999,0.0
13,4049,0.0
13,4099,0.002111484296619892
13,4149,0.0
13,4199,0.0
14,4249,0.0013755490072071552
14,4299,0.0
14,4349,0.0
14,4399,0.0008961543207988143
14,4449,0.0
14,4499,0.0
15,4549,0.0005836320342496037
15,4599,0.0
15,4649,0.0
15,4699,0.0003802785649895668
15,4749,0.0
15,4799,0.0
16,4849,0.00024773000041022897
16,4899,0.0
16,4949,0.0
16,4999,0.0001614374341443181
16,5049,0.0
16,5099,0.0
17,5149,0.00010516215115785599
17,5199,0.0
17,5249,0.0
17,5299,6.852351361885667e-05
17,5349,0.0
17,5399,0.0
18,5449,4.4667162001132965e-05
18,5499,0.0
18,5549,0.0
18,5599,2.909504109993577e-05
18,5649,0.0
18,5699,0.0
19,5749,1.896146932267584e-05
19,5799,0.0
19,5849,0.0
19,5899,1.235693707712926e-05
19,5949,0.0
19,5999,0.0
20,6049,8.033370249904692e-06
20,6099,0.0
20,6149,0.0
20,6199,5.256166332401335e-06
20,6249,0.0
20,6299,0.0
21,6349,3.437104169279337e-06
21,6399,0.0
21,6449,0.0
21,6499,2.230404788861051e-06
21,6549,0.0
21,6599,0.0
22,6649,1.4576980902347714e-06
22,6699,0.0
22,6749,0.0
22,6799,9.686336852610111e-07
22,6849,0.0
22,6899,0.0
23,6949,6.295740604400635e-07
23,6999,0.0
23,7049,0.0
23,7099,4.0341183193959296e-07
23,7149,0.0
23,7199,0.0
24,7249,2.913620846811682e-07
24,7299,0.0
24,7349,0.0
24,7399,1.97502231458202e-07
24,7449,0.0
24,7499,0.0
25,7549,1.2183227227069438e-07
25,7599,0.0
25,7649,0.0
25,7699,6.435220711864531e-08
25,7749,0.0
25,7799,0.0
26,7849,4.895264282822609e-08
26,7899,0.0
26,7949,0.0
26,7999,4.895264282822609e-08
26,8049,0.0
26,8099,0.0
27,8149,4.895264282822609e-08
27,8199,0.0
27,8249,0.0
27,8299,4.895264282822609e-08
27,8349,0.0
27,8399,0.0
28,8449,4.895264282822609e-08
28,8499,0.0
28,8549,0.0
28,8599,4.895264282822609e-08
28,8649,0.0
28,8699,0.0
29,8749,4.895264282822609e-08
29,8799,0.0
29,8849,0.0
29,8899,4.895264282822609e-08
29,8949,0.0
29,8999,0.0
30,9049,4.895264282822609e-08
30,9099,0.0
30,9149,0.0
30,9199,4.895264282822609e-08
30,9249,0.0
30,9299,0.0
31,9349,4.895264282822609e-08
31,9399,0.0
31,9449,0.0
31,9499,4.895264282822609e-08
31,9549,0.0
31,9599,0.0
32,9649,4.895264282822609e-08
32,9699,0.0
32,9749,0.0
32,9799,4.895264282822609e-08
32,9849,0.0
32,9899,0.0
33,9949,4.895264282822609e-08
33,9999,0.0
33,10049,0.0
33,10099,4.895264282822609e-08
33,10149,0.0
33,10199,0.0
